preference_model,pricing_model,n_items,gamma,delta,K,alpha,lambda_,seed,T,utility_gap_M_minus_m,purchase_gap_M_minus_m,revenue_gap_M_minus_m,recommended_value_gap_M_minus_m,best_recommended_value_gap_M_minus_m,overall_minority_item_exposure,minority_population_share,random_minority_item_share,exposure_representation_gap,exposure_random_gap,total_revenue,avg_revenue_per_user,overall_purchase_rate,minority_item_purchase_share,avg_shown_price,avg_oracle_price_all_items,avg_final_mle_price_all_items,avg_abs_mle_oracle_price_error_all_items,avg_abs_mle_oracle_price_error_minority_items,avg_abs_mle_oracle_price_error_majority_items,avg_oracle_r_star_minority_items,avg_oracle_r_star_majority_items,avg_mle_exposures_minority_items,avg_mle_exposures_majority_items,n_minority_preferred_items
gaussian,fixed,50,0.0,0.95,1,0.9,0.1,0,300,-0.13262264299748983,-0.2581818181818182,-0.1936363636363636,-0.1681502660394456,-0.1681502660394456,0.07333333333333333,0.09999999999999998,0.19999999999999998,0.026666666666666644,0.12666666666666665,162.75,0.5425,0.7233333333333334,0.056666666666666664,0.75,0.7133999999999999,,,,,0.5941182998767679,0.5858511105622557,0.0,0.0,10.0
gaussian,fixed,50,0.0,0.95,1,0.9,0.25,0,300,-0.1301497479116027,-0.2545454545454545,-0.19090909090909092,-0.16556760872974374,-0.16556760872974374,0.07666666666666666,0.09999999999999998,0.19999999999999998,0.023333333333333317,0.12333333333333332,163.5,0.545,0.7266666666666667,0.06,0.75,0.7133999999999999,,,,,0.5941182998767679,0.5858511105622557,0.0,0.0,10.0
gaussian,fixed,50,0.0,0.95,3,0.9,0.1,0,300,0.3432675297371229,0.19212054622508234,0.1440904096688117,0.35601306911418396,0.3876576063839462,0.1577777777777778,0.09999999999999998,0.19999999999999998,-0.05777777777777782,0.04222222222222219,216.0,0.72,0.96,0.10666666666666667,0.75,0.7133999999999999,,,,,0.5941182998767679,0.5858511105622557,0.0,0.0,10.0
gaussian,fixed,50,0.0,0.95,3,0.9,0.25,0,300,0.2834285288918916,0.14130434782608692,0.10597826086956519,0.2585396156285763,0.32064007602844313,0.1288888888888889,0.09999999999999998,0.19999999999999998,-0.02888888888888891,0.0711111111111111,216.75,0.7225,0.9633333333333334,0.09333333333333334,0.75,0.7133999999999999,,,,,0.5941182998767679,0.5858511105622557,0.0,0.0,10.0
gaussian,fixed,50,0.0,0.99,1,0.9,0.1,0,300,-0.13262264299748983,-0.2581818181818182,-0.1936363636363636,-0.1681502660394456,-0.1681502660394456,0.07333333333333333,0.09999999999999998,0.19999999999999998,0.026666666666666644,0.12666666666666665,162.75,0.5425,0.7233333333333334,0.056666666666666664,0.75,0.7133999999999999,,,,,0.5941182998767679,0.5858511105622557,0.0,0.0,10.0
gaussian,fixed,50,0.0,0.99,1,0.9,0.25,0,300,-0.11955171351828703,-0.10909090909090902,-0.08181818181818179,-0.14331883636245646,-0.14331883636245646,0.7266666666666667,0.09999999999999998,0.19999999999999998,-0.6266666666666667,-0.5266666666666667,193.5,0.645,0.86,0.71,0.75,0.7133999999999999,,,,,0.5941182998767679,0.5858511105622557,0.0,0.0,10.0
gaussian,fixed,50,0.0,0.99,3,0.9,0.1,0,300,0.2825566820412548,0.11712184873949583,0.08784138655462181,0.334751549574579,0.3094075822838236,0.13333333333333333,0.09999999999999998,0.19999999999999998,-0.033333333333333354,0.06666666666666665,216.75,0.7225,0.9633333333333334,0.10333333333333333,0.75,0.7133999999999999,,,,,0.5941182998767679,0.5858511105622557,0.0,0.0,10.0
gaussian,fixed,50,0.0,0.99,3,0.9,0.25,0,300,0.13955774672512106,0.014545454545454528,0.01090909090909098,0.15564095765494101,0.1515758944121124,0.11111111111111109,0.09999999999999998,0.19999999999999998,-0.011111111111111113,0.08888888888888889,219.0,0.73,0.9733333333333334,0.1,0.75,0.7133999999999999,,,,,0.5941182998767679,0.5858511105622557,0.0,0.0,10.0
gaussian,fixed,50,0.3,0.95,1,0.9,0.1,0,300,-0.059912006946526986,-0.09090909090909094,-0.06818181818181812,-0.10321211786615303,-0.10321211786615303,0.7333333333333333,0.09999999999999998,0.19999999999999998,-0.6333333333333333,-0.5333333333333333,161.25,0.5375,0.7166666666666667,0.6566666666666666,0.75,0.51612,,,,,0.3888609402809491,0.4002863398403928,0.0,0.0,10.0
gaussian,fixed,50,0.3,0.95,1,0.9,0.25,0,300,0.0455087707922378,0.21090909090909093,0.15818181818181815,0.08019379518752334,0.08019379518752334,0.07333333333333333,0.09999999999999998,0.19999999999999998,0.026666666666666644,0.12666666666666665,124.5,0.415,0.5533333333333333,0.04,0.75,0.51612,,,,,0.3888609402809491,0.4002863398403928,0.0,0.0,10.0
